Start of Interval (UTC+12:00),SoilTemp(c)
5/29/2014 4:00,9.575
5/29/2014 5:00,9.5
5/29/2014 6:00,9.5
5/29/2014 7:00,9.5
5/29/2014 8:00,9.5
5/29/2014 9:00,9.575
5/29/2014 10:00,9.775
5/29/2014 11:00,10.0375
5/29/2014 12:00,10.375
5/29/2014 13:00,10.4
5/29/2014 14:00,11.0375
5/29/2014 15:00,11.5
5/29/2014 16:00,12.0625
5/29/2014 17:00,12.35
5/29/2014 18:00,12.4
5/29/2014 19:00,12.4375
5/29/2014 20:00,12.7625
5/29/2014 21:00,12.8125
5/29/2014 22:00,12.9
5/29/2014 23:00,12.9
5/30/2014 0:00,12.9125
5/30/2014 1:00,13.0125
5/30/2014 2:00,13.1
5/30/2014 3:00,13.1
5/30/2014 4:00,13.1625
5/30/2014 5:00,13.2
5/30/2014 6:00,13.2625
5/30/2014 7:00,13.3125
5/30/2014 8:00,13.4
5/30/2014 9:00,13.4
5/30/2014 10:00,13.4875
5/30/2014 11:00,13.5875
5/30/2014 12:00,13.8875
5/30/2014 13:00,14.125
5/30/2014 14:00,14.45
5/30/2014 15:00,14.8625
5/30/2014 16:00,15.0875
5/30/2014 17:00,15.1625
5/30/2014 18:00,15.2
5/30/2014 19:00,15.175
5/30/2014 20:00,14.9
5/30/2014 21:00,14.7125
5/30/2014 22:00,14.5125
5/30/2014 23:00,14.275
5/31/2014 0:00,14.2
5/31/2014 1:00,14.05
5/31/2014 2:00,13.7625
5/31/2014 3:00,13.7
5/31/2014 4:00,13.5875
5/31/2014 5:00,13.4
5/31/2014 6:00,13.375
5/31/2014 7:00,13.1875
5/31/2014 8:00,13.0875
5/31/2014 9:00,12.9125
5/31/2014 10:00,12.9
5/31/2014 11:00,13
5/31/2014 12:00,13.1
5/31/2014 13:00,13.6875
5/31/2014 14:00,14
5/31/2014 15:00,14
5/31/2014 16:00,14.8
5/31/2014 17:00,15.0125
5/31/2014 18:00,15.025
5/31/2014 19:00,14.8
5/31/2014 20:00,14.4375
5/31/2014 21:00,14.075
5/31/2014 22:00,13.7
5/31/2014 23:00,13.3125
6/1/2014 0:00,12.85
6/1/2014 1:00,12.5375
6/1/2014 2:00,12.25
6/1/2014 3:00,11.8625
6/1/2014 4:00,11.575
6/1/2014 5:00,11.2625
6/1/2014 6:00,10.975
6/1/2014 7:00,10.6625
6/1/2014 8:00,10.3625
6/1/2014 9:00,10.2
6/1/2014 10:00,10.1125
6/1/2014 11:00,10.2375
6/1/2014 12:00,10.7
6/1/2014 13:00,11.275
6/1/2014 14:00,11.9
6/1/2014 15:00,12.4875
6/1/2014 16:00,13.0125
6/1/2014 17:00,13.375
6/1/2014 18:00,13.6
6/1/2014 19:00,13.525
6/1/2014 20:00,13.4
6/1/2014 21:00,13.2375
6/1/2014 22:00,13
6/1/2014 23:00,12.825
6/2/2014 0:00,12.6625
6/2/2014 1:00,12.4125
6/2/2014 2:00,12.2875
6/2/2014 3:00,12.075
6/2/2014 4:00,11.9375
6/2/2014 5:00,11.6625
6/2/2014 6:00,11.6
6/2/2014 7:00,11.6
6/2/2014 8:00,11.5875
6/2/2014 9:00,11.325
6/2/2014 10:00,11.3
6/2/2014 11:00,11.475
6/2/2014 12:00,11.525
6/2/2014 13:00,11.85
6/2/2014 14:00,12.15
6/2/2014 15:00,12.625
6/2/2014 16:00,12.9625
6/2/2014 17:00,13.525
6/2/2014 18:00,13.6375
6/2/2014 19:00,13.6625
6/2/2014 20:00,13.6
6/2/2014 21:00,13.375
6/2/2014 22:00,13.125
6/2/2014 23:00,12.8875
6/3/2014 0:00,12.6125
6/3/2014 1:00,12.3375
